Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
3800,100,100,10,10
3801,1,1,1,1
3802,2,2,2,2
3803,3,3,3,3
3804,4,4,4,4
3805,5,5,5,5
3806,6,6,6,6
3807,7,7,7,7
3808,8,8,8,8
3809,9,9,9,9
3810,10,10,10,10
3811,11,11,1,1
3812,12,12,2,2
3813,13,13,3,3
3814,14,14,4,4
3815,15,15,5,5
3816,16,16,6,6
3817,17,17,7,7
3818,18,18,8,8
3819,19,19,9,9
3820,20,20,10,10
3821,21,21,1,1
3822,22,22,2,2
3823,23,23,3,3
3824,24,24,4,4
3825,25,25,5,5
3826,26,26,6,6
3827,27,27,7,7
3828,28,28,8,8
3829,29,29,9,9
3830,30,30,10,10
3831,31,31,1,1
3832,32,32,2,2
3833,33,33,3,3
3834,34,34,4,4
3835,35,35,5,5
3836,36,36,6,6
3837,37,37,7,7
3838,38,38,8,8
3839,39,39,9,9
3840,40,40,10,10
3841,41,41,1,1
3842,42,42,2,2
3843,43,43,3,3
3844,44,44,4,4
3845,45,45,5,5
3846,46,46,6,6
3847,47,47,7,7
3848,48,48,8,8
3849,49,49,9,9
3850,50,50,10,10
3851,51,51,1,1
3852,52,52,2,2
3853,53,53,3,3
3854,54,54,4,4
3855,55,55,5,5
3856,56,56,6,6
3857,57,57,7,7
3858,58,58,8,8
3859,59,59,9,9
3860,60,60,10,10
3861,61,61,1,1
3862,62,62,2,2
3863,63,63,3,3
3864,64,64,4,4
3865,65,65,5,5
3866,66,66,6,6
3867,67,67,7,7
3868,68,68,8,8
3869,69,69,9,9
3870,70,70,10,10
3871,71,71,1,1
3872,72,72,2,2
3873,73,73,3,3
3874,74,74,4,4
3875,75,75,5,5
3876,76,76,6,6
3877,77,77,7,7
3878,78,78,8,8
3879,79,79,9,9
3880,80,80,10,10
3881,81,81,1,1
3882,82,82,2,2
3883,83,83,3,3
3884,84,84,4,4
3885,85,85,5,5
3886,86,86,6,6
3887,87,87,7,7
3888,88,88,8,8
3889,89,89,9,9
3890,90,90,10,10
3891,91,91,1,1
3892,92,92,2,2
3893,93,93,3,3
3894,94,94,4,4
3895,95,95,5,5
3896,96,96,6,6
3897,97,97,7,7
3898,98,98,8,8
3899,99,99,9,9
3900,100,100,10,10
3901,1,1,1,1
3902,2,2,2,2
3903,3,3,3,3
3904,4,4,4,4
3905,5,5,5,5
3906,6,6,6,6
3907,7,7,7,7
3908,8,8,8,8
3909,9,9,9,9
3910,10,10,10,10
3911,11,11,1,1
3912,12,12,2,2
3913,13,13,3,3
3914,14,14,4,4
3915,15,15,5,5
3916,16,16,6,6
3917,17,17,7,7
3918,18,18,8,8
3919,19,19,9,9
3920,20,20,10,10
3921,21,21,1,1
3922,22,22,2,2
3923,23,23,3,3
3924,24,24,4,4
3925,25,25,5,5
3926,26,26,6,6
3927,27,27,7,7
3928,28,28,8,8
3929,29,29,9,9
3930,30,30,10,10
3931,31,31,1,1
3932,32,32,2,2
3933,33,33,3,3
3934,34,34,4,4
3935,35,35,5,5
3936,36,36,6,6
3937,37,37,7,7
3938,38,38,8,8
3939,39,39,9,9
3940,40,40,10,10
3941,41,41,1,1
3942,42,42,2,2
3943,43,43,3,3
3944,44,44,4,4
3945,45,45,5,5
3946,46,46,6,6
3947,47,47,7,7
3948,48,48,8,8
3949,49,49,9,9
3950,50,50,10,10
3951,51,51,1,1
3952,52,52,2,2
3953,53,53,3,3
3954,54,54,4,4
3955,55,55,5,5
3956,56,56,6,6
3957,57,57,7,7
3958,58,58,8,8
3959,59,59,9,9
3960,60,60,10,10
3961,61,61,1,1
3962,62,62,2,2
3963,63,63,3,3
3964,64,64,4,4
3965,65,65,5,5
3966,66,66,6,6
3967,67,67,7,7
3968,68,68,8,8
3969,69,69,9,9
3970,70,70,10,10
3971,71,71,1,1
3972,72,72,2,2
3973,73,73,3,3
3974,74,74,4,4
3975,75,75,5,5
3976,76,76,6,6
3977,77,77,7,7
3978,78,78,8,8
3979,79,79,9,9
3980,80,80,10,10
3981,81,81,1,1
3982,82,82,2,2
3983,83,83,3,3
3984,84,84,4,4
3985,85,85,5,5
3986,86,86,6,6
3987,87,87,7,7
3988,88,88,8,8
3989,89,89,9,9
3990,90,90,10,10
3991,91,91,1,1
3992,92,92,2,2
3993,93,93,3,3
3994,94,94,4,4
3995,95,95,5,5
3996,96,96,6,6
3997,97,97,7,7
3998,98,98,8,8
3999,99,99,9,9
4000,100,100,10,10
4001,1,1,1,1
4002,2,2,2,2
4003,3,3,3,3
4004,4,4,4,4
4005,5,5,5,5
4006,6,6,6,6
4007,7,7,7,7
4008,8,8,8,8
4009,9,9,9,9
4010,10,10,10,10
4011,11,11,1,1
4012,12,12,2,2
4013,13,13,3,3
4014,14,14,4,4
4015,15,15,5,5
4016,16,16,6,6
4017,17,17,7,7
4018,18,18,8,8
4019,19,19,9,9
4020,20,20,10,10
4021,21,21,1,1
4022,22,22,2,2
4023,23,23,3,3
4024,24,24,4,4
4025,25,25,5,5
4026,26,26,6,6
4027,27,27,7,7
4028,28,28,8,8
4029,29,29,9,9
4030,30,30,10,10
4031,31,31,1,1
4032,32,32,2,2
4033,33,33,3,3
4034,34,34,4,4
4035,35,35,5,5
4036,36,36,6,6
4037,37,37,7,7
4038,38,38,8,8
4039,39,39,9,9
4040,40,40,10,10
4041,41,41,1,1
4042,42,42,2,2
4043,43,43,3,3
4044,44,44,4,4
4045,45,45,5,5
4046,46,46,6,6
4047,47,47,7,7
4048,48,48,8,8
4049,49,49,9,9
4050,50,50,10,10
4051,51,51,1,1
4052,52,52,2,2
4053,53,53,3,3
4054,54,54,4,4
4055,55,55,5,5
4056,56,56,6,6
4057,57,57,7,7
4058,58,58,8,8
4059,59,59,9,9
4060,60,60,10,10
4061,61,61,1,1
4062,62,62,2,2
4063,63,63,3,3
4064,64,64,4,4
4065,65,65,5,5
4066,66,66,6,6
4067,67,67,7,7
4068,68,68,8,8
4069,69,69,9,9
4070,70,70,10,10
4071,71,71,1,1
4072,72,72,2,2
4073,73,73,3,3
4074,74,74,4,4
4075,75,75,5,5
4076,76,76,6,6
4077,77,77,7,7
4078,78,78,8,8
4079,79,79,9,9
4080,80,80,10,10
4081,81,81,1,1
4082,82,82,2,2
4083,83,83,3,3
4084,84,84,4,4
4085,85,85,5,5
4086,86,86,6,6
4087,87,87,7,7
4088,88,88,8,8
4089,89,89,9,9
4090,90,90,10,10
4091,91,91,1,1
4092,92,92,2,2
4093,93,93,3,3
4094,94,94,4,4
4095,95,95,5,5
4096,96,96,6,6
4097,97,97,7,7
4098,98,98,8,8
4099,99,99,9,9
4100,100,100,10,10
4101,1,1,1,1
4102,2,2,2,2
4103,3,3,3,3
4104,4,4,4,4
4105,5,5,5,5
4106,6,6,6,6
4107,7,7,7,7
4108,8,8,8,8
4109,9,9,9,9
4110,10,10,10,10
4111,11,11,1,1
4112,12,12,2,2
4113,13,13,3,3
4114,14,14,4,4
4115,15,15,5,5
4116,16,16,6,6
4117,17,17,7,7
4118,18,18,8,8
4119,19,19,9,9
4120,20,20,10,10
4121,21,21,1,1
4122,22,22,2,2
4123,23,23,3,3
4124,24,24,4,4
4125,25,25,5,5
4126,26,26,6,6
4127,27,27,7,7
4128,28,28,8,8
4129,29,29,9,9
4130,30,30,10,10
4131,31,31,1,1
4132,32,32,2,2
4133,33,33,3,3
4134,34,34,4,4
4135,35,35,5,5
4136,36,36,6,6
4137,37,37,7,7
4138,38,38,8,8
4139,39,39,9,9
4140,40,40,10,10
4141,41,41,1,1
4142,42,42,2,2
4143,43,43,3,3
4144,44,44,4,4
4145,45,45,5,5
4146,46,46,6,6
4147,47,47,7,7
4148,48,48,8,8
4149,49,49,9,9
4150,50,50,10,10
4151,51,51,1,1
4152,52,52,2,2
4153,53,53,3,3
4154,54,54,4,4
4155,55,55,5,5
4156,56,56,6,6
4157,57,57,7,7
4158,58,58,8,8
4159,59,59,9,9
4160,60,60,10,10
4161,61,61,1,1
4162,62,62,2,2
4163,63,63,3,3
4164,64,64,4,4
4165,65,65,5,5
4166,66,66,6,6
4167,67,67,7,7
4168,68,68,8,8
4169,69,69,9,9
4170,70,70,10,10
4171,71,71,1,1
4172,72,72,2,2
4173,73,73,3,3
4174,74,74,4,4
4175,75,75,5,5
4176,76,76,6,6
4177,77,77,7,7
4178,78,78,8,8
4179,79,79,9,9
4180,80,80,10,10
4181,81,81,1,1
4182,82,82,2,2
4183,83,83,3,3
4184,84,84,4,4
4185,85,85,5,5
4186,86,86,6,6
4187,87,87,7,7
4188,88,88,8,8
4189,89,89,9,9
4190,90,90,10,10
4191,91,91,1,1
4192,92,92,2,2
4193,93,93,3,3
4194,94,94,4,4
4195,95,95,5,5
4196,96,96,6,6
4197,97,97,7,7
4198,98,98,8,8
4199,99,99,9,9
4200,100,100,10,10
4201,1,1,1,1
4202,2,2,2,2
4203,3,3,3,3
4204,4,4,4,4
4205,5,5,5,5
4206,6,6,6,6
4207,7,7,7,7
4208,8,8,8,8
4209,9,9,9,9
4210,10,10,10,10
4211,11,11,1,1
4212,12,12,2,2
4213,13,13,3,3
4214,14,14,4,4
4215,15,15,5,5
4216,16,16,6,6
4217,17,17,7,7
4218,18,18,8,8
4219,19,19,9,9
4220,20,20,10,10
4221,21,21,1,1
4222,22,22,2,2
4223,23,23,3,3
4224,24,24,4,4
4225,25,25,5,5
4226,26,26,6,6
4227,27,27,7,7
4228,28,28,8,8
4229,29,29,9,9
4230,30,30,10,10
4231,31,31,1,1
4232,32,32,2,2
4233,33,33,3,3
4234,34,34,4,4
4235,35,35,5,5
4236,36,36,6,6
4237,37,37,7,7
4238,38,38,8,8
4239,39,39,9,9
4240,40,40,10,10
4241,41,41,1,1
4242,42,42,2,2
4243,43,43,3,3
4244,44,44,4,4
4245,45,45,5,5
4246,46,46,6,6
4247,47,47,7,7
4248,48,48,8,8
4249,49,49,9,9
4250,50,50,10,10
4251,51,51,1,1
4252,52,52,2,2
4253,53,53,3,3
4254,54,54,4,4
4255,55,55,5,5
4256,56,56,6,6
4257,57,57,7,7
4258,58,58,8,8
4259,59,59,9,9
4260,60,60,10,10
4261,61,61,1,1
4262,62,62,2,2
4263,63,63,3,3
4264,64,64,4,4
4265,65,65,5,5
4266,66,66,6,6
4267,67,67,7,7
4268,68,68,8,8
4269,69,69,9,9
4270,70,70,10,10
4271,71,71,1,1
4272,72,72,2,2
4273,73,73,3,3
4274,74,74,4,4
4275,75,75,5,5
4276,76,76,6,6
4277,77,77,7,7
4278,78,78,8,8
4279,79,79,9,9
4280,80,80,10,10
4281,81,81,1,1
4282,82,82,2,2
4283,83,83,3,3
4284,84,84,4,4
4285,85,85,5,5
4286,86,86,6,6
4287,87,87,7,7
4288,88,88,8,8
4289,89,89,9,9
4290,90,90,10,10
4291,91,91,1,1
4292,92,92,2,2
4293,93,93,3,3
4294,94,94,4,4
4295,95,95,5,5
4296,96,96,6,6
4297,97,97,7,7
4298,98,98,8,8
4299,99,99,9,9
4300,100,100,10,10
4301,1,1,1,1
4302,2,2,2,2
4303,3,3,3,3
4304,4,4,4,4
4305,5,5,5,5
4306,6,6,6,6
4307,7,7,7,7
4308,8,8,8,8
4309,9,9,9,9
4310,10,10,10,10
4311,11,11,1,1
4312,12,12,2,2
4313,13,13,3,3
4314,14,14,4,4
4315,15,15,5,5
4316,16,16,6,6
4317,17,17,7,7
4318,18,18,8,8
4319,19,19,9,9
4320,20,20,10,10
4321,21,21,1,1
4322,22,22,2,2
4323,23,23,3,3
4324,24,24,4,4
4325,25,25,5,5
4326,26,26,6,6
4327,27,27,7,7
4328,28,28,8,8
4329,29,29,9,9
4330,30,30,10,10
4331,31,31,1,1
4332,32,32,2,2
4333,33,33,3,3
4334,34,34,4,4
4335,35,35,5,5
4336,36,36,6,6
4337,37,37,7,7
4338,38,38,8,8
4339,39,39,9,9
4340,40,40,10,10
4341,41,41,1,1
4342,42,42,2,2
4343,43,43,3,3
4344,44,44,4,4
4345,45,45,5,5
4346,46,46,6,6
4347,47,47,7,7
4348,48,48,8,8
4349,49,49,9,9
4350,50,50,10,10
4351,51,51,1,1
4352,52,52,2,2
4353,53,53,3,3
4354,54,54,4,4
4355,55,55,5,5
4356,56,56,6,6
4357,57,57,7,7
4358,58,58,8,8
4359,59,59,9,9
4360,60,60,10,10
4361,61,61,1,1
4362,62,62,2,2
4363,63,63,3,3
4364,64,64,4,4
4365,65,65,5,5
4366,66,66,6,6
4367,67,67,7,7
4368,68,68,8,8
4369,69,69,9,9
4370,70,70,10,10
4371,71,71,1,1
4372,72,72,2,2
4373,73,73,3,3
4374,74,74,4,4
4375,75,75,5,5
4376,76,76,6,6
4377,77,77,7,7
4378,78,78,8,8
4379,79,79,9,9
4380,80,80,10,10
4381,81,81,1,1
4382,82,82,2,2
4383,83,83,3,3
4384,84,84,4,4
4385,85,85,5,5
4386,86,86,6,6
4387,87,87,7,7
4388,88,88,8,8
4389,89,89,9,9
4390,90,90,10,10
4391,91,91,1,1
4392,92,92,2,2
4393,93,93,3,3
4394,94,94,4,4
4395,95,95,5,5
4396,96,96,6,6
4397,97,97,7,7
4398,98,98,8,8
4399,99,99,9,9
4400,100,100,10,10
4401,1,1,1,1
4402,2,2,2,2
4403,3,3,3,3
4404,4,4,4,4
4405,5,5,5,5
4406,6,6,6,6
4407,7,7,7,7
4408,8,8,8,8
4409,9,9,9,9
4410,10,10,10,10
4411,11,11,1,1
4412,12,12,2,2
4413,13,13,3,3
4414,14,14,4,4
4415,15,15,5,5
4416,16,16,6,6
4417,17,17,7,7
4418,18,18,8,8
4419,19,19,9,9
4420,20,20,10,10
4421,21,21,1,1
4422,22,22,2,2
4423,23,23,3,3
4424,24,24,4,4
4425,25,25,5,5
4426,26,26,6,6
4427,27,27,7,7
4428,28,28,8,8
4429,29,29,9,9
4430,30,30,10,10
4431,31,31,1,1
4432,32,32,2,2
4433,33,33,3,3
4434,34,34,4,4
4435,35,35,5,5
4436,36,36,6,6
4437,37,37,7,7
4438,38,38,8,8
4439,39,39,9,9
4440,40,40,10,10
4441,41,41,1,1
4442,42,42,2,2
4443,43,43,3,3
4444,44,44,4,4
4445,45,45,5,5
4446,46,46,6,6
4447,47,47,7,7
4448,48,48,8,8
4449,49,49,9,9
4450,50,50,10,10
4451,51,51,1,1
4452,52,52,2,2
4453,53,53,3,3
4454,54,54,4,4
4455,55,55,5,5
4456,56,56,6,6
4457,57,57,7,7
4458,58,58,8,8
4459,59,59,9,9
4460,60,60,10,10
4461,61,61,1,1
4462,62,62,2,2
4463,63,63,3,3
4464,64,64,4,4
4465,65,65,5,5
4466,66,66,6,6
4467,67,67,7,7
4468,68,68,8,8
4469,69,69,9,9
4470,70,70,10,10
4471,71,71,1,1
4472,72,72,2,2
4473,73,73,3,3
4474,74,74,4,4
4475,75,75,5,5
4476,76,76,6,6
4477,77,77,7,7
4478,78,78,8,8
4479,79,79,9,9
4480,80,80,10,10
4481,81,81,1,1
4482,82,82,2,2
4483,83,83,3,3
4484,84,84,4,4
4485,85,85,5,5
4486,86,86,6,6
4487,87,87,7,7
4488,88,88,8,8
4489,89,89,9,9
4490,90,90,10,10
4491,91,91,1,1
4492,92,92,2,2
4493,93,93,3,3
4494,94,94,4,4
4495,95,95,5,5
4496,96,96,6,6
4497,97,97,7,7
4498,98,98,8,8
4499,99,99,9,9
4500,100,100,10,10
