Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
624,24,24,4,4
625,25,25,5,5
626,26,26,6,6
627,27,27,7,7
628,28,28,8,8
629,29,29,9,9
630,30,30,10,10
631,31,31,1,1
632,32,32,2,2
633,33,33,3,3
634,34,34,4,4
635,35,35,5,5
636,36,36,6,6
637,37,37,7,7
638,38,38,8,8
639,39,39,9,9
640,40,40,10,10
641,41,41,1,1
642,42,42,2,2
643,43,43,3,3
644,44,44,4,4
645,45,45,5,5
646,46,46,6,6
647,47,47,7,7
648,48,48,8,8
649,49,49,9,9
650,50,50,10,10
651,51,51,1,1
652,52,52,2,2
653,53,53,3,3
654,54,54,4,4
655,55,55,5,5
656,56,56,6,6
657,57,57,7,7
658,58,58,8,8
659,59,59,9,9
660,60,60,10,10
661,61,61,1,1
662,62,62,2,2
663,63,63,3,3
664,64,64,4,4
665,65,65,5,5
666,66,66,6,6
667,67,67,7,7
668,68,68,8,8
669,69,69,9,9
670,70,70,10,10
671,71,71,1,1
672,72,72,2,2
673,73,73,3,3
674,74,74,4,4
675,75,75,5,5
676,76,76,6,6
677,77,77,7,7
678,78,78,8,8
679,79,79,9,9
680,80,80,10,10
681,81,81,1,1
682,82,82,2,2
683,83,83,3,3
684,84,84,4,4
685,85,85,5,5
686,86,86,6,6
687,87,87,7,7
688,88,88,8,8
689,89,89,9,9
690,90,90,10,10
691,91,91,1,1
692,92,92,2,2
693,93,93,3,3
694,94,94,4,4
695,95,95,5,5
696,96,96,6,6
697,97,97,7,7
698,98,98,8,8
699,99,99,9,9
700,100,100,10,10
701,1,1,1,1
702,2,2,2,2
703,3,3,3,3
704,4,4,4,4
705,5,5,5,5
706,6,6,6,6
707,7,7,7,7
708,8,8,8,8
709,9,9,9,9
710,10,10,10,10
711,11,11,1,1
712,12,12,2,2
713,13,13,3,3
714,14,14,4,4
715,15,15,5,5
716,16,16,6,6
717,17,17,7,7
718,18,18,8,8
719,19,19,9,9
720,20,20,10,10
721,21,21,1,1
722,22,22,2,2
723,23,23,3,3
724,24,24,4,4
725,25,25,5,5
726,26,26,6,6
727,27,27,7,7
728,28,28,8,8
729,29,29,9,9
730,30,30,10,10
731,31,31,1,1
732,32,32,2,2
733,33,33,3,3
734,34,34,4,4
735,35,35,5,5
736,36,36,6,6
737,37,37,7,7
738,38,38,8,8
739,39,39,9,9
740,40,40,10,10
741,41,41,1,1
742,42,42,2,2
743,43,43,3,3
744,44,44,4,4
745,45,45,5,5
746,46,46,6,6
747,47,47,7,7
748,48,48,8,8
749,49,49,9,9
750,50,50,10,10
751,51,51,1,1
752,52,52,2,2
753,53,53,3,3
754,54,54,4,4
755,55,55,5,5
756,56,56,6,6
757,57,57,7,7
758,58,58,8,8
759,59,59,9,9
760,60,60,10,10
761,61,61,1,1
762,62,62,2,2
763,63,63,3,3
764,64,64,4,4
765,65,65,5,5
766,66,66,6,6
767,67,67,7,7
768,68,68,8,8
769,69,69,9,9
770,70,70,10,10
771,71,71,1,1
772,72,72,2,2
773,73,73,3,3
774,74,74,4,4
775,75,75,5,5
776,76,76,6,6
777,77,77,7,7
778,78,78,8,8
779,79,79,9,9
780,80,80,10,10
781,81,81,1,1
782,82,82,2,2
783,83,83,3,3
784,84,84,4,4
785,85,85,5,5
786,86,86,6,6
787,87,87,7,7
788,88,88,8,8
789,89,89,9,9
790,90,90,10,10
791,91,91,1,1
792,92,92,2,2
793,93,93,3,3
794,94,94,4,4
795,95,95,5,5
796,96,96,6,6
797,97,97,7,7
798,98,98,8,8
799,99,99,9,9
800,100,100,10,10
801,1,1,1,1
802,2,2,2,2
803,3,3,3,3
804,4,4,4,4
805,5,5,5,5
806,6,6,6,6
807,7,7,7,7
808,8,8,8,8
809,9,9,9,9
810,10,10,10,10
811,11,11,1,1
812,12,12,2,2
813,13,13,3,3
814,14,14,4,4
815,15,15,5,5
816,16,16,6,6
817,17,17,7,7
818,18,18,8,8
819,19,19,9,9
820,20,20,10,10
821,21,21,1,1
822,22,22,2,2
823,23,23,3,3
824,24,24,4,4
825,25,25,5,5
826,26,26,6,6
827,27,27,7,7
828,28,28,8,8
829,29,29,9,9
830,30,30,10,10
831,31,31,1,1
832,32,32,2,2
833,33,33,3,3
834,34,34,4,4
835,35,35,5,5
836,36,36,6,6
837,37,37,7,7
838,38,38,8,8
839,39,39,9,9
840,40,40,10,10
841,41,41,1,1
842,42,42,2,2
843,43,43,3,3
844,44,44,4,4
845,45,45,5,5
846,46,46,6,6
847,47,47,7,7
848,48,48,8,8
849,49,49,9,9
850,50,50,10,10
851,51,51,1,1
852,52,52,2,2
853,53,53,3,3
854,54,54,4,4
855,55,55,5,5
856,56,56,6,6
857,57,57,7,7
858,58,58,8,8
859,59,59,9,9
860,60,60,10,10
861,61,61,1,1
862,62,62,2,2
863,63,63,3,3
864,64,64,4,4
865,65,65,5,5
866,66,66,6,6
867,67,67,7,7
868,68,68,8,8
869,69,69,9,9
870,70,70,10,10
871,71,71,1,1
872,72,72,2,2
873,73,73,3,3
874,74,74,4,4
875,75,75,5,5
876,76,76,6,6
877,77,77,7,7
878,78,78,8,8
879,79,79,9,9
880,80,80,10,10
881,81,81,1,1
882,82,82,2,2
883,83,83,3,3
884,84,84,4,4
885,85,85,5,5
886,86,86,6,6
887,87,87,7,7
888,88,88,8,8
889,89,89,9,9
890,90,90,10,10
891,91,91,1,1
892,92,92,2,2
893,93,93,3,3
894,94,94,4,4
895,95,95,5,5
896,96,96,6,6
897,97,97,7,7
898,98,98,8,8
899,99,99,9,9
900,100,100,10,10
