Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
8242,42,42,2,2
8243,43,43,3,3
8244,44,44,4,4
8245,45,45,5,5
8246,46,46,6,6
8247,47,47,7,7
8248,48,48,8,8
8249,49,49,9,9
8250,50,50,10,10
8251,51,51,1,1
8252,52,52,2,2
8253,53,53,3,3
8254,54,54,4,4
8255,55,55,5,5
8256,56,56,6,6
8257,57,57,7,7
8258,58,58,8,8
8259,59,59,9,9
8260,60,60,10,10
8261,61,61,1,1
8262,62,62,2,2
8263,63,63,3,3
8264,64,64,4,4
8265,65,65,5,5
8266,66,66,6,6
8267,67,67,7,7
8268,68,68,8,8
8269,69,69,9,9
8270,70,70,10,10
8271,71,71,1,1
8272,72,72,2,2
8273,73,73,3,3
8274,74,74,4,4
8275,75,75,5,5
8276,76,76,6,6
8277,77,77,7,7
8278,78,78,8,8
8279,79,79,9,9
8280,80,80,10,10
8281,81,81,1,1
8282,82,82,2,2
8283,83,83,3,3
8284,84,84,4,4
8285,85,85,5,5
8286,86,86,6,6
8287,87,87,7,7
8288,88,88,8,8
8289,89,89,9,9
8290,90,90,10,10
8291,91,91,1,1
8292,92,92,2,2
8293,93,93,3,3
8294,94,94,4,4
8295,95,95,5,5
8296,96,96,6,6
8297,97,97,7,7
8298,98,98,8,8
8299,99,99,9,9
8300,100,100,10,10
8301,1,1,1,1
8302,2,2,2,2
8303,3,3,3,3
8304,4,4,4,4
8305,5,5,5,5
8306,6,6,6,6
8307,7,7,7,7
8308,8,8,8,8
8309,9,9,9,9
8310,10,10,10,10
8311,11,11,1,1
8312,12,12,2,2
8313,13,13,3,3
8314,14,14,4,4
8315,15,15,5,5
8316,16,16,6,6
8317,17,17,7,7
8318,18,18,8,8
8319,19,19,9,9
8320,20,20,10,10
8321,21,21,1,1
8322,22,22,2,2
8323,23,23,3,3
8324,24,24,4,4
8325,25,25,5,5
8326,26,26,6,6
8327,27,27,7,7
8328,28,28,8,8
8329,29,29,9,9
8330,30,30,10,10
8331,31,31,1,1
8332,32,32,2,2
8333,33,33,3,3
8334,34,34,4,4
8335,35,35,5,5
8336,36,36,6,6
8337,37,37,7,7
8338,38,38,8,8
8339,39,39,9,9
8340,40,40,10,10
8341,41,41,1,1
8342,42,42,2,2
8343,43,43,3,3
8344,44,44,4,4
8345,45,45,5,5
8346,46,46,6,6
8347,47,47,7,7
8348,48,48,8,8
8349,49,49,9,9
8350,50,50,10,10
8351,51,51,1,1
8352,52,52,2,2
8353,53,53,3,3
8354,54,54,4,4
8355,55,55,5,5
8356,56,56,6,6
8357,57,57,7,7
8358,58,58,8,8
8359,59,59,9,9
8360,60,60,10,10
8361,61,61,1,1
8362,62,62,2,2
8363,63,63,3,3
8364,64,64,4,4
8365,65,65,5,5
8366,66,66,6,6
8367,67,67,7,7
8368,68,68,8,8
8369,69,69,9,9
8370,70,70,10,10
8371,71,71,1,1
8372,72,72,2,2
8373,73,73,3,3
8374,74,74,4,4
8375,75,75,5,5
8376,76,76,6,6
8377,77,77,7,7
8378,78,78,8,8
8379,79,79,9,9
8380,80,80,10,10
8381,81,81,1,1
8382,82,82,2,2
8383,83,83,3,3
8384,84,84,4,4
8385,85,85,5,5
8386,86,86,6,6
8387,87,87,7,7
8388,88,88,8,8
8389,89,89,9,9
8390,90,90,10,10
8391,91,91,1,1
8392,92,92,2,2
8393,93,93,3,3
8394,94,94,4,4
8395,95,95,5,5
8396,96,96,6,6
8397,97,97,7,7
8398,98,98,8,8
8399,99,99,9,9
8400,100,100,10,10
8401,1,1,1,1
8402,2,2,2,2
8403,3,3,3,3
8404,4,4,4,4
8405,5,5,5,5
8406,6,6,6,6
8407,7,7,7,7
8408,8,8,8,8
8409,9,9,9,9
8410,10,10,10,10
8411,11,11,1,1
8412,12,12,2,2
8413,13,13,3,3
8414,14,14,4,4
8415,15,15,5,5
8416,16,16,6,6
8417,17,17,7,7
8418,18,18,8,8
8419,19,19,9,9
8420,20,20,10,10
8421,21,21,1,1
8422,22,22,2,2
8423,23,23,3,3
8424,24,24,4,4
8425,25,25,5,5
8426,26,26,6,6
8427,27,27,7,7
8428,28,28,8,8
8429,29,29,9,9
8430,30,30,10,10
8431,31,31,1,1
8432,32,32,2,2
8433,33,33,3,3
8434,34,34,4,4
8435,35,35,5,5
8436,36,36,6,6
8437,37,37,7,7
8438,38,38,8,8
8439,39,39,9,9
8440,40,40,10,10
8441,41,41,1,1
8442,42,42,2,2
8443,43,43,3,3
8444,44,44,4,4
8445,45,45,5,5
8446,46,46,6,6
8447,47,47,7,7
8448,48,48,8,8
8449,49,49,9,9
8450,50,50,10,10
8451,51,51,1,1
8452,52,52,2,2
8453,53,53,3,3
8454,54,54,4,4
8455,55,55,5,5
8456,56,56,6,6
8457,57,57,7,7
8458,58,58,8,8
8459,59,59,9,9
8460,60,60,10,10
8461,61,61,1,1
8462,62,62,2,2
8463,63,63,3,3
8464,64,64,4,4
8465,65,65,5,5
8466,66,66,6,6
8467,67,67,7,7
8468,68,68,8,8
8469,69,69,9,9
8470,70,70,10,10
8471,71,71,1,1
8472,72,72,2,2
8473,73,73,3,3
8474,74,74,4,4
8475,75,75,5,5
8476,76,76,6,6
8477,77,77,7,7
8478,78,78,8,8
8479,79,79,9,9
8480,80,80,10,10
8481,81,81,1,1
8482,82,82,2,2
8483,83,83,3,3
8484,84,84,4,4
8485,85,85,5,5
8486,86,86,6,6
8487,87,87,7,7
8488,88,88,8,8
8489,89,89,9,9
8490,90,90,10,10
8491,91,91,1,1
8492,92,92,2,2
8493,93,93,3,3
8494,94,94,4,4
8495,95,95,5,5
8496,96,96,6,6
8497,97,97,7,7
8498,98,98,8,8
8499,99,99,9,9
8500,100,100,10,10
8501,1,1,1,1
8502,2,2,2,2
8503,3,3,3,3
8504,4,4,4,4
8505,5,5,5,5
8506,6,6,6,6
8507,7,7,7,7
8508,8,8,8,8
8509,9,9,9,9
8510,10,10,10,10
8511,11,11,1,1
8512,12,12,2,2
8513,13,13,3,3
8514,14,14,4,4
8515,15,15,5,5
8516,16,16,6,6
8517,17,17,7,7
8518,18,18,8,8
8519,19,19,9,9
8520,20,20,10,10
8521,21,21,1,1
8522,22,22,2,2
8523,23,23,3,3
8524,24,24,4,4
8525,25,25,5,5
8526,26,26,6,6
8527,27,27,7,7
8528,28,28,8,8
8529,29,29,9,9
8530,30,30,10,10
8531,31,31,1,1
8532,32,32,2,2
8533,33,33,3,3
8534,34,34,4,4
8535,35,35,5,5
8536,36,36,6,6
8537,37,37,7,7
8538,38,38,8,8
8539,39,39,9,9
8540,40,40,10,10
8541,41,41,1,1
8542,42,42,2,2
8543,43,43,3,3
8544,44,44,4,4
8545,45,45,5,5
8546,46,46,6,6
8547,47,47,7,7
8548,48,48,8,8
8549,49,49,9,9
8550,50,50,10,10
8551,51,51,1,1
8552,52,52,2,2
8553,53,53,3,3
8554,54,54,4,4
8555,55,55,5,5
8556,56,56,6,6
8557,57,57,7,7
8558,58,58,8,8
8559,59,59,9,9
8560,60,60,10,10
8561,61,61,1,1
8562,62,62,2,2
8563,63,63,3,3
8564,64,64,4,4
8565,65,65,5,5
8566,66,66,6,6
8567,67,67,7,7
8568,68,68,8,8
8569,69,69,9,9
8570,70,70,10,10
8571,71,71,1,1
8572,72,72,2,2
8573,73,73,3,3
8574,74,74,4,4
8575,75,75,5,5
8576,76,76,6,6
8577,77,77,7,7
8578,78,78,8,8
8579,79,79,9,9
8580,80,80,10,10
8581,81,81,1,1
8582,82,82,2,2
8583,83,83,3,3
8584,84,84,4,4
8585,85,85,5,5
8586,86,86,6,6
8587,87,87,7,7
8588,88,88,8,8
8589,89,89,9,9
8590,90,90,10,10
8591,91,91,1,1
8592,92,92,2,2
8593,93,93,3,3
8594,94,94,4,4
8595,95,95,5,5
8596,96,96,6,6
8597,97,97,7,7
8598,98,98,8,8
8599,99,99,9,9
8600,100,100,10,10
8601,1,1,1,1
8602,2,2,2,2
8603,3,3,3,3
8604,4,4,4,4
8605,5,5,5,5
8606,6,6,6,6
8607,7,7,7,7
8608,8,8,8,8
8609,9,9,9,9
8610,10,10,10,10
8611,11,11,1,1
8612,12,12,2,2
8613,13,13,3,3
8614,14,14,4,4
8615,15,15,5,5
8616,16,16,6,6
8617,17,17,7,7
8618,18,18,8,8
8619,19,19,9,9
8620,20,20,10,10
8621,21,21,1,1
8622,22,22,2,2
8623,23,23,3,3
8624,24,24,4,4
8625,25,25,5,5
8626,26,26,6,6
8627,27,27,7,7
8628,28,28,8,8
8629,29,29,9,9
8630,30,30,10,10
8631,31,31,1,1
8632,32,32,2,2
8633,33,33,3,3
8634,34,34,4,4
8635,35,35,5,5
8636,36,36,6,6
8637,37,37,7,7
8638,38,38,8,8
8639,39,39,9,9
8640,40,40,10,10
8641,41,41,1,1
8642,42,42,2,2
8643,43,43,3,3
8644,44,44,4,4
8645,45,45,5,5
8646,46,46,6,6
8647,47,47,7,7
8648,48,48,8,8
8649,49,49,9,9
8650,50,50,10,10
8651,51,51,1,1
8652,52,52,2,2
8653,53,53,3,3
8654,54,54,4,4
8655,55,55,5,5
8656,56,56,6,6
8657,57,57,7,7
8658,58,58,8,8
8659,59,59,9,9
8660,60,60,10,10
8661,61,61,1,1
8662,62,62,2,2
8663,63,63,3,3
8664,64,64,4,4
8665,65,65,5,5
8666,66,66,6,6
8667,67,67,7,7
8668,68,68,8,8
8669,69,69,9,9
8670,70,70,10,10
8671,71,71,1,1
8672,72,72,2,2
8673,73,73,3,3
8674,74,74,4,4
8675,75,75,5,5
8676,76,76,6,6
8677,77,77,7,7
8678,78,78,8,8
8679,79,79,9,9
8680,80,80,10,10
8681,81,81,1,1
8682,82,82,2,2
8683,83,83,3,3
8684,84,84,4,4
8685,85,85,5,5
8686,86,86,6,6
8687,87,87,7,7
8688,88,88,8,8
8689,89,89,9,9
8690,90,90,10,10
8691,91,91,1,1
8692,92,92,2,2
8693,93,93,3,3
8694,94,94,4,4
8695,95,95,5,5
8696,96,96,6,6
8697,97,97,7,7
8698,98,98,8,8
8699,99,99,9,9
8700,100,100,10,10
8701,1,1,1,1
8702,2,2,2,2
8703,3,3,3,3
8704,4,4,4,4
8705,5,5,5,5
8706,6,6,6,6
8707,7,7,7,7
8708,8,8,8,8
8709,9,9,9,9
8710,10,10,10,10
8711,11,11,1,1
8712,12,12,2,2
8713,13,13,3,3
8714,14,14,4,4
8715,15,15,5,5
8716,16,16,6,6
8717,17,17,7,7
8718,18,18,8,8
8719,19,19,9,9
8720,20,20,10,10
8721,21,21,1,1
8722,22,22,2,2
8723,23,23,3,3
8724,24,24,4,4
8725,25,25,5,5
8726,26,26,6,6
8727,27,27,7,7
8728,28,28,8,8
8729,29,29,9,9
8730,30,30,10,10
8731,31,31,1,1
8732,32,32,2,2
8733,33,33,3,3
8734,34,34,4,4
8735,35,35,5,5
8736,36,36,6,6
8737,37,37,7,7
8738,38,38,8,8
8739,39,39,9,9
8740,40,40,10,10
8741,41,41,1,1
8742,42,42,2,2
8743,43,43,3,3
8744,44,44,4,4
8745,45,45,5,5
8746,46,46,6,6
8747,47,47,7,7
8748,48,48,8,8
8749,49,49,9,9
8750,50,50,10,10
8751,51,51,1,1
8752,52,52,2,2
8753,53,53,3,3
8754,54,54,4,4
8755,55,55,5,5
8756,56,56,6,6
8757,57,57,7,7
8758,58,58,8,8
8759,59,59,9,9
8760,60,60,10,10
8761,61,61,1,1
8762,62,62,2,2
8763,63,63,3,3
8764,64,64,4,4
8765,65,65,5,5
8766,66,66,6,6
8767,67,67,7,7
8768,68,68,8,8
8769,69,69,9,9
8770,70,70,10,10
8771,71,71,1,1
8772,72,72,2,2
8773,73,73,3,3
8774,74,74,4,4
8775,75,75,5,5
8776,76,76,6,6
8777,77,77,7,7
8778,78,78,8,8
8779,79,79,9,9
8780,80,80,10,10
8781,81,81,1,1
8782,82,82,2,2
8783,83,83,3,3
8784,84,84,4,4
8785,85,85,5,5
8786,86,86,6,6
8787,87,87,7,7
8788,88,88,8,8
8789,89,89,9,9
8790,90,90,10,10
8791,91,91,1,1
8792,92,92,2,2
8793,93,93,3,3
8794,94,94,4,4
8795,95,95,5,5
8796,96,96,6,6
8797,97,97,7,7
8798,98,98,8,8
8799,99,99,9,9
8800,100,100,10,10
8801,1,1,1,1
8802,2,2,2,2
8803,3,3,3,3
8804,4,4,4,4
8805,5,5,5,5
8806,6,6,6,6
8807,7,7,7,7
8808,8,8,8,8
8809,9,9,9,9
8810,10,10,10,10
8811,11,11,1,1
8812,12,12,2,2
8813,13,13,3,3
8814,14,14,4,4
8815,15,15,5,5
8816,16,16,6,6
8817,17,17,7,7
8818,18,18,8,8
8819,19,19,9,9
8820,20,20,10,10
8821,21,21,1,1
8822,22,22,2,2
8823,23,23,3,3
8824,24,24,4,4
8825,25,25,5,5
8826,26,26,6,6
8827,27,27,7,7
8828,28,28,8,8
8829,29,29,9,9
8830,30,30,10,10
8831,31,31,1,1
8832,32,32,2,2
8833,33,33,3,3
8834,34,34,4,4
8835,35,35,5,5
8836,36,36,6,6
8837,37,37,7,7
8838,38,38,8,8
8839,39,39,9,9
8840,40,40,10,10
8841,41,41,1,1
8842,42,42,2,2
8843,43,43,3,3
8844,44,44,4,4
8845,45,45,5,5
8846,46,46,6,6
8847,47,47,7,7
8848,48,48,8,8
8849,49,49,9,9
8850,50,50,10,10
8851,51,51,1,1
8852,52,52,2,2
8853,53,53,3,3
8854,54,54,4,4
8855,55,55,5,5
8856,56,56,6,6
8857,57,57,7,7
8858,58,58,8,8
8859,59,59,9,9
8860,60,60,10,10
8861,61,61,1,1
8862,62,62,2,2
8863,63,63,3,3
8864,64,64,4,4
8865,65,65,5,5
8866,66,66,6,6
8867,67,67,7,7
8868,68,68,8,8
8869,69,69,9,9
8870,70,70,10,10
8871,71,71,1,1
8872,72,72,2,2
8873,73,73,3,3
8874,74,74,4,4
8875,75,75,5,5
8876,76,76,6,6
8877,77,77,7,7
8878,78,78,8,8
8879,79,79,9,9
8880,80,80,10,10
8881,81,81,1,1
8882,82,82,2,2
8883,83,83,3,3
8884,84,84,4,4
8885,85,85,5,5
8886,86,86,6,6
8887,87,87,7,7
8888,88,88,8,8
8889,89,89,9,9
8890,90,90,10,10
8891,91,91,1,1
8892,92,92,2,2
8893,93,93,3,3
8894,94,94,4,4
8895,95,95,5,5
8896,96,96,6,6
8897,97,97,7,7
8898,98,98,8,8
8899,99,99,9,9
8900,100,100,10,10
8901,1,1,1,1
8902,2,2,2,2
8903,3,3,3,3
8904,4,4,4,4
8905,5,5,5,5
8906,6,6,6,6
8907,7,7,7,7
8908,8,8,8,8
8909,9,9,9,9
8910,10,10,10,10
8911,11,11,1,1
8912,12,12,2,2
8913,13,13,3,3
8914,14,14,4,4
8915,15,15,5,5
8916,16,16,6,6
8917,17,17,7,7
8918,18,18,8,8
8919,19,19,9,9
8920,20,20,10,10
8921,21,21,1,1
8922,22,22,2,2
8923,23,23,3,3
8924,24,24,4,4
8925,25,25,5,5
8926,26,26,6,6
8927,27,27,7,7
8928,28,28,8,8
8929,29,29,9,9
8930,30,30,10,10
8931,31,31,1,1
8932,32,32,2,2
8933,33,33,3,3
8934,34,34,4,4
8935,35,35,5,5
8936,36,36,6,6
8937,37,37,7,7
8938,38,38,8,8
8939,39,39,9,9
8940,40,40,10,10
8941,41,41,1,1
8942,42,42,2,2
8943,43,43,3,3
8944,44,44,4,4
8945,45,45,5,5
8946,46,46,6,6
8947,47,47,7,7
8948,48,48,8,8
8949,49,49,9,9
8950,50,50,10,10
8951,51,51,1,1
8952,52,52,2,2
8953,53,53,3,3
8954,54,54,4,4
8955,55,55,5,5
8956,56,56,6,6
8957,57,57,7,7
8958,58,58,8,8
8959,59,59,9,9
8960,60,60,10,10
8961,61,61,1,1
8962,62,62,2,2
8963,63,63,3,3
8964,64,64,4,4
8965,65,65,5,5
8966,66,66,6,6
8967,67,67,7,7
8968,68,68,8,8
8969,69,69,9,9
8970,70,70,10,10
8971,71,71,1,1
8972,72,72,2,2
8973,73,73,3,3
8974,74,74,4,4
8975,75,75,5,5
8976,76,76,6,6
8977,77,77,7,7
8978,78,78,8,8
8979,79,79,9,9
8980,80,80,10,10
8981,81,81,1,1
8982,82,82,2,2
8983,83,83,3,3
8984,84,84,4,4
8985,85,85,5,5
8986,86,86,6,6
8987,87,87,7,7
8988,88,88,8,8
8989,89,89,9,9
8990,90,90,10,10
8991,91,91,1,1
8992,92,92,2,2
8993,93,93,3,3
8994,94,94,4,4
8995,95,95,5,5
8996,96,96,6,6
8997,97,97,7,7
8998,98,98,8,8
8999,99,99,9,9
9000,100,100,10,10
